Month,Price_rs,Change,Price_dollar_rubber,Change_dollar,Rubber_type,Year
 March, 10900.00,-84, 146.90,-6.8,ISNR50,2020
 May, 10100.00,10100, 133.60,133.6,ISNR50,2020
 June, 10231.00,131, 135.05,1.45,ISNR50,2020
 July, 9854.00,-377, 131.30,-3.75,ISNR50,2020
 August, 9796.00,-58, 131.05,-0.25,ISNR50,2020
 September, 9881.00,85, 134.50,3.45,ISNR50,2020
 October, 10446.00,565, 142.15,7.65,ISNR50,2020
 November, 11225.00,779, 151.25,9.1,ISNR50,2020
 January, 10868.00,301, 153.80,4.2,ISNR50,2019
 February, 10630.00,-238, 149.25,-4.55,ISNR50,2019
 March, 11154.00,524, 160.20,10.95,ISNR50,2019
 April, 11139.00,-15, 160.40,0.2,ISNR50,2019
 May, 11267.00,128, 161.45,1.05,ISNR50,2019
 June, 12071.00,804, 173.70,12.25,ISNR50,2019
 July, 11711.00,-360, 170.15,-3.55,ISNR50,2019
 August, 10904.00,-807, 153.86,-16.29,ISNR50,2019
 September, 9988.00,-916, 139.85,-14.01,ISNR50,2019
 October, 9916.00,-72, 139.60,-0.25,ISNR50,2019
 November, 10854.00,938, 152.00,12.4,ISNR50,2019
 December, 10864.00,10, 152.56,0.56,ISNR50,2019
 January, 10592.00,160, 141.20,2.1,ISNR50,2018
 February, 10388.00,-204, 138.51,-2.69,ISNR50,2018
 March, 10781.00,393, 143.75,5.24,ISNR50,2018
 April, 10500.00,-281, 140.00,-3.75,ISNR50,2018
 May, 11231.00,731, 165.15,25.15,ISNR50,2018
 June, 11562.00,331, 170.65,5.5,ISNR50,2018
 July, 11977.00,415, 174.35,3.7,ISNR50,2018
 August, 12283.00,306, 176.86,2.51,ISNR50,2018
 September, 11788.00,-495, 163.45,-13.41,ISNR50,2018
 October, 10896.00,-892, 148.20,-15.25,ISNR50,2018
 November, 10396.00,-500, 144.20,-4,ISNR50,2018
 December, 10567.00,171, 149.60,5.4,ISNR50,2018
 January, 12456.00,1167, 166.10,15.6,ISNR50,2017
 February, 13175.00,719, 175.65,9.55,ISNR50,2017
 March, 12619.00,-556, 168.25,-7.4,ISNR50,2017
 April, 11891.00,-728, 158.55,-9.7,ISNR50,2017
 May, 11319.00,-572, 150.90,-7.65,ISNR50,2017
 June, 10592.00,-727, 141.20,-9.7,ISNR50,2017
 July, 11350.00,758, 151.35,10.15,ISNR50,2017
 August, 10723.00,-627, 142.95,-8.4,ISNR50,2017
 September, 11000.00,277, 146.65,3.7,ISNR50,2017
 October, 10638.00,-362, 141.85,-4.8,ISNR50,2017
 November, 9977.00,-661, 133.00,-8.85,ISNR50,2017
 December, 10432.00,455, 139.10,6.1,ISNR50,2017
 January, 11556.00,206, 154.10,2.75,RSS1,2016
 February, 11477.00,-79, 153.00,-1.1,RSS1,2016
 March, 13608.00,2131, 181.45,28.45,RSS1,2016
 April, 14952.00,1344, 199.35,17.9,RSS1,2016
 May, 14176.00,-776, 189.00,-10.35,RSS1,2016
 June, 14515.00,339, 193.55,4.55,RSS1,2016
 July, 14885.00,370, 198.45,4.9,RSS1,2016
 August, 14269.00,-616, 190.25,-8.2,RSS1,2016
 September, 12567.00,-1702, 167.55,-22.7,RSS1,2016
 October, 12265.00,-302, 163.55,-4,RSS1,2016
 November, 13016.00,751, 173.55,10,RSS1,2016
 December, 14089.00,1073, 187.85,14.3,RSS1,2016
 January, 13011.00,773, 173.50,10.35,RSS1,2015
 February, 13913.00,902, 185.51,12.01,RSS1,2015
 March, 13858.00,-55, 184.75,-0.76,RSS1,2015
 April, 13573.00,-285, 180.95,-3.8,RSS1,2015
 May, 14600.00,1027, 194.65,13.7,RSS1,2015
 June, 15973.00,1373, 212.95,18.3,RSS1,2015
 July, 16038.00,65, 213.85,0.9,RSS1,2015
 August, 14887.00,-1151, 198.50,-15.35,RSS1,2015
 September, 13268.00,-1619, 176.91,-21.59,RSS1,2015
 October, 13231.00,-37, 176.40,-0.51,RSS1,2015
 November, 11632.00,-1599, 155.10,-21.3,RSS1,2015
 December, 11350.00,-282, 151.35,-3.75,RSS1,2015
 January, 16944.00,536, 225.90,7.15,RSS1,2014
 February, 17475.00,531, 233.00,7.1,RSS1,2014
 March, 18300.00,825, 244.00,11,RSS1,2014
 April, 17714.00,-586, 236.20,-7.8,RSS1,2014
 May, 17320.00,-394, 230.95,-5.25,RSS1,2014
 June, 17000.00,-320, 226.65,-4.3,RSS1,2014
 July, 16524.00,-476, 220.30,-6.35,RSS1,2014
 August, 15396.00,-1128, 205.30,-15,RSS1,2014
 September, 13670.00,-1726, 182.25,-23.05,RSS1,2014
 October, 13075.00,-595, 174.35,-7.9,RSS1,2014
 November, 12338.00,-737, 164.51,-9.84,RSS1,2014
 December, 12238.00,-100, 163.15,-1.36,RSS1,2014
 January, 17070.00,192, 227.60,2.55,RSS1,2013
 February, 16600.00,-470, 221.35,-6.25,RSS1,2013
 March, 17750.00,1150, 236.65,15.3,RSS1,2013
 April, 18325.00,575, 244.35,7.7,RSS1,2013
 May, 19238.00,913, 256.51,12.16,RSS1,2013
 June, 20008.00,770, 266.75,10.24,RSS1,2013
 July, 21875.00,1867, 291.65,24.9,RSS1,2013
 August, 20971.00,-904, 279.60,-12.05,RSS1,2013
 September, 19809.00,-1162, 264.10,-15.5,RSS1,2013
 October, 17867.00,-1942, 238.20,-25.9,RSS1,2013
 November, 16457.00,-1410, 219.40,-18.8,RSS1,2013
 December, 16408.00,-49, 218.75,-0.65,RSS1,2013
 January, 20048.00,-972, 267.31,-12.94,RSS1,2012
 February, 19624.00,-424, 261.65,-5.66,RSS1,2012
 March, 20404.00,780, 272.05,10.4,RSS1,2012
 April, 21110.00,706, 281.45,9.4,RSS1,2012
 May, 20871.00,-239, 278.25,-3.2,RSS1,2012
 June, 19991.00,-880, 266.55,-11.7,RSS1,2012
 July, 19383.00,-608, 258.45,-8.1,RSS1,2012
 August, 17986.00,-1397, 239.80,-18.65,RSS1,2012
 September, 19214.00,1228, 256.20,16.4,RSS1,2012
 October, 19213.00,-1, 256.15,-0.05,RSS1,2012
 November, 17961.00,-1252, 239.50,-16.65,RSS1,2012
 December, 16878.00,-1083, 225.05,-14.45,RSS1,2012
 January, 23443.00,2591, 312.55,34.55,RSS1,2011
 February, 25430.00,1987, 339.05,26.5,RSS1,2011
 March, 24392.00,-1038, 325.20,-13.85,RSS1,2011
 April, 25805.00,1413, 344.05,18.85,RSS1,2011
 May, 24554.00,-1251, 327.40,-16.65,RSS1,2011
 June, 24143.00,-411, 321.91,-5.49,RSS1,2011
 July, 23196.00,-947, 309.25,-12.66,RSS1,2011
 August, 21363.00,-1833, 284.85,-24.4,RSS1,2011
 September, 21893.00,530, 291.91,7.06,RSS1,2011
 October, 21591.00,-302, 287.90,-4.01,RSS1,2011
 November, 20287.00,-1304, 270.50,-17.4,RSS1,2011
 December, 21020.00,733, 280.25,9.75,RSS1,2011
 January, 14161.00,296, 188.80,3.95,RSS1,2010
 February, 14026.00,-135, 187.00,-1.8,RSS1,2010
 March, 15322.00,1296, 204.30,17.3,RSS1,2010
